-6.1299E-6,-4.5000E+0,-16.0696E-6,-4.5000E+0,-21.5988E-6,-4.5000E+0,-19.3434E-6,-4.5000E+0,-7.4768E-6,-4.5000E+0
-2.9373E-6,-4.0000E+0,-9.3321E-6,-4.0000E+0,-14.8839E-6,-4.0000E+0,-12.1294E-6,-4.0000E+0,-3.9198E-6,-4.0000E+0
-1.3283E-6,-3.5000E+0,-5.0395E-6,-3.5000E+0,-9.8230E-6,-3.5000E+0,-7.1062E-6,-3.5000E+0,-1.9428E-6,-3.5000E+0
-560.5514E-9,-3.0000E+0,-2.4497E-6,-3.0000E+0,-6.0178E-6,-3.0000E+0,-3.7500E-6,-3.0000E+0,-899.0266E-9,-3.0000E+0
-205.7467E-9,-2.5000E+0,-1.0472E-6,-2.5000E+0,-3.2533E-6,-2.5000E+0,-1.6919E-6,-2.5000E+0,-375.3240E-9,-2.5000E+0
-63.9103E-9,-2.0000E+0,-373.4345E-9,-2.0000E+0,-1.4365E-6,-2.0000E+0,-613.3776E-9,-2.0000E+0,-129.7460E-9,-2.0000E+0
-17.6398E-9,-1.5000E+0,-100.2426E-9,-1.5000E+0,-458.6961E-9,-1.5000E+0,-164.1067E-9,-1.5000E+0,-35.7229E-9,-1.5000E+0
-7.5557E-9,-1.0000E+0,-20.3061E-9,-1.0000E+0,-87.0126E-9,-1.0000E+0,-30.7630E-9,-1.0000E+0,-10.7044E-9,-1.0000E+0
-828.9527E-12,-500.0000E-3,-7.3086E-9,-500.0000E-3,-11.1615E-9,-500.0000E-3,-7.9305E-9,-500.0000E-3,-1.6692E-9,-500.0000E-3
118.0196E-12,0.0000E+0,134.3245E-12,0.0000E+0,56.6355E-12,0.0000E+0,114.4523E-12,0.0000E+0,242.3334E-12,0.0000E+0
894.4118E-12,500.0000E-3,2.7690E-9,500.0000E-3,2.6610E-9,500.0000E-3,14.5611E-9,500.0000E-3,7.2539E-9,500.0000E-3
6.0684E-9,1.0000E+0,8.0987E-9,1.0000E+0,28.6809E-9,1.0000E+0,131.3806E-9,1.0000E+0,20.8854E-9,1.0000E+0
12.6106E-9,1.5000E+0,21.0806E-9,1.5000E+0,139.6302E-9,1.5000E+0,649.8507E-9,1.5000E+0,107.2337E-9,1.5000E+0
37.6314E-9,2.0000E+0,74.7069E-9,2.0000E+0,485.2830E-9,2.0000E+0,1.9355E-6,2.0000E+0,399.6864E-9,2.0000E+0
116.0502E-9,2.5000E+0,228.2528E-9,2.5000E+0,1.2281E-6,2.5000E+0,4.2668E-6,2.5000E+0,1.0868E-6,2.5000E+0
308.2810E-9,3.0000E+0,593.1896E-9,3.0000E+0,2.5969E-6,3.0000E+0,7.7446E-6,3.0000E+0,2.4476E-6,3.0000E+0
731.6187E-9,3.5000E+0,1.3604E-6,3.5000E+0,4.7825E-6,3.5000E+0,12.3751E-6,3.5000E+0,4.8044E-6,3.5000E+0
1.6149E-6,4.0000E+0,2.9268E-6,4.0000E+0,8.0699E-6,4.0000E+0,18.3492E-6,4.0000E+0,8.5601E-6,4.0000E+0
3.4597E-6,4.5000E+0,5.9303E-6,4.5000E+0,12.8591E-6,4.5000E+0,25.9566E-6,4.5000E+0,14.1314E-6,4.5000E+0
7.1745E-6,5.0000E+0,11.3020E-6,5.0000E+0,19.9854E-6,5.0000E+0,35.7810E-6,5.0000E+0,22.1839E-6,5.0000E+0
14.2379E-6,5.5000E+0,20.4241E-6,5.5000E+0,30.2851E-6,5.5000E+0,48.5679E-6,5.5000E+0,33.2632E-6,5.5000E+0
26.7657E-6,6.0000E+0,34.9010E-6,6.0000E+0,44.9781E-6,6.0000E+0,65.1777E-6,6.0000E+0,48.0331E-6,6.0000E+0
47.9072E-6,6.5000E+0,56.6502E-6,6.5000E+0,65.6878E-6,6.5000E+0,86.6069E-6,6.5000E+0,67.2434E-6,6.5000E+0
82.9827E-6,7.0000E+0,88.2197E-6,7.0000E+0,94.3574E-6,7.0000E+0,114.1746E-6,7.0000E+0,91.9937E-6,7.0000E+0
140.2581E-6,7.5000E+0,133.9417E-6,7.5000E+0,131.4078E-6,7.5000E+0,147.7769E-6,7.5000E+0,121.2586E-6,7.5000E+0
217.0715E-6,8.0000E+0,193.4341E-6,8.0000E+0,178.5507E-6,8.0000E+0,188.8535E-6,8.0000E+0,155.9820E-6,8.0000E+0
314.9884E-6,8.5000E+0,266.6336E-6,8.5000E+0,234.1668E-6,8.5000E+0,236.6666E-6,8.5000E+0,195.8978E-6,8.5000E+0
431.5705E-6,9.0000E+0,351.2659E-6,9.0000E+0,296.6591E-6,9.0000E+0,289.7229E-6,9.0000E+0,239.9896E-6,9.0000E+0
